feature,importance
sale_date,277722.104013239
land_val,124264.92140989866
imp_val,92155.30272221366
grade,36708.37736503872
join_year,26890.19962406286
sqft,10536.88870174749
latitude,8614.025653908911
TotalArea,4480.647735870132
TotalSF,2531.4764850216143
sale_nbr,1756.2092435583033
present_use,406.4242708799207
sale_warning,361.08122523896407
year_reno,41.63645222224474
garb_sqft,25.701989646789976
GarageAreaPerCar,23.01756420943133
HouseAge,0.0
view_otherwater,0.0
view_lakesamm,0.0
view_other,0.0
view_lakewash,0.0
submarket,0.0
view_sound,0.0
id,0.0
join_status_demo,0.0
RemodAge,0.0
TotalBath,0.0
QualCondProduct,0.0
view_territorial,0.0
join_status_miss99,0.0
join_status_new,0.0
join_status_nochg,0.0
join_status_rebuilt - after,0.0
join_status_rebuilt - before,0.0
join_status_reno - after,0.0
join_status_reno - before,0.0
view_skyline,0.0
wfnt,0.0
view_cascades,0.0
view_olympics,0.0
longitude,0.0
area,0.0
city,0.0
zoning,0.0
subdivision,0.0
year_built,0.0
sqft_lot,0.0
sqft_1,0.0
sqft_fbsmt,0.0
fbsmt_grade,0.0
condition,0.0
stories,0.0
beds,0.0
bath_full,0.0
bath_3qtr,0.0
bath_half,0.0
gara_sqft,0.0
golf,0.0
greenbelt,0.0
noise_traffic,0.0
view_rainier,0.0
join_status_nan,0.0
